Merek,Model,Varian,Tahun,harga,Jarak tempuh,Tipe bahan bakar,Transmisi,Kapasitas mesin
Mazda,CX-3,2.0 Touring Bensin-AT,2017,255000000.0,67500.0,Bensin,Automatic,2.0
Mitsubishi,Pajero Sport,2.4 Dakar 4x2 Solar-AT,2017,370000000.0,177500.0,Diesel,Automatic,2.4
Honda,Jazz,1.5 RS Bensin-AT,2015,187000000.0,97500.0,Bensin,Automatic,1.5
Mitsubishi,Xpander,1.5 New Ultimate Bensin-AT,2018,195000000.0,42500.0,Bensin,Automatic,1.5
Nissan,Grand livina,1.5 SV Facelift Bensin-AT,2016,110000000.0,107500.0,Bensin,Automatic,1.5
Daihatsu,Ayla,1.0 X ADS Bensin-MT,2023,117000000.0,12500.0,Bensin,Manual,1.0
Mitsubishi,Xpander,1.5 New Ultimate Bensin-AT,2022,252000000.0,52500.0,Bensin,Automatic,1.5
Honda,Jazz,1.5 RS Bensin-AT,2019,240000000.0,52500.0,Bensin,Automatic,1.5
BMW,328i,2.0 Sport Bensin-AT,2012,370000000.0,92500.0,Bensin,Automatic,2.0
Suzuki,Escudo,1.5 Bensin-MT,1996,52000000.0,102500.0,Bensin,Manual,1.5
Toyota,Kijang Innova,2.4 G Solar-MT,2016,275000000.0,72500.0,Diesel,Manual,2.4
Toyota,Kijang Innova,2.0 G Bensin-MT,2018,215000000.0,87500.0,Bensin,Manual,2.0
Suzuki,Ertiga,1.4 GX Bensin-MT,2013,118000000.0,112500.0,Bensin,Manual,1.4
Toyota,Agya,1.2 G TRD Sportivo Bensin-MT,2014,112000000.0,7500.0,Bensin,Manual,1.2
Toyota,Kijang Innova,2.0 G Bensin-AT,2015,185000000.0,142500.0,Bensin,Automatic,2.0
Toyota,Fortuner,2.5 G Solar-AT,2009,205000000.0,152500.0,Diesel,Automatic,2.5
Daihatsu,Terios,1.5 TX Bensin-AT,2012,115000000.0,117500.0,Bensin,Automatic,1.5
Toyota,Agya,1.2 New G Bensin-MT,2020,110000000.0,77500.0,Bensin,Manual,1.2
Suzuki,Karimun,1.0 DX Bensin-MT,2003,47500000.0,137500.0,Bensin,Manual,1.0
Nissan,Grand livina,1.2 XV Bensin-AT,2013,97000000.0,97500.0,Bensin,Automatic,1.2
Honda,Brio,1.2 RS Bensin-AT,2016,133000000.0,92500.0,Bensin,Automatic,1.2
Honda,Brio Satya,1.2 E Bensin-AT,2017,132000000.0,57500.0,Bensin,Automatic,1.2
Toyota,Agya,1.2 GR Sport Bensin-MT,2022,135000000.0,12500.0,Bensin,Manual,1.2
Daihatsu,Terios,1.5 R Bensin-AT,2021,212000000.0,32500.0,Bensin,Automatic,1.5
Toyota,Kijang Innova,2.4 G Solar-AT,2019,330000000.0,72500.0,Diesel,Automatic,2.4
Suzuki,Karimun Wagon R,1.0 GS Bensin-AT,2018,110000000.0,82500.0,Bensin,Automatic,1.0
Honda,Odyssey,2.4L Prestige-AT,2004,150000000.0,87500.0,Bensin,Automatic,2.4
Honda,HR-V,1.5 E Bensin-AT,2016,210000000.0,97500.0,Bensin,Automatic,1.5
Suzuki,Katana,1.0 Bensin-MT,1993,65000000.0,27500.0,Bensin,Manual,1.0
Toyota,Avanza,1.3 G Bensin-MT,2019,155000000.0,67500.0,Bensin,Manual,1.3
Toyota,Kijang Innova,2.0 G Bensin-AT,2018,247000000.0,82500.0,Bensin,Automatic,2.0
Mazda,MX-5,2.0 Bensin-AT,2015,245000000.0,77500.0,Bensin,Automatic,2.0
Toyota,Avanza,1.3 G Bensin-MT,2019,153000000.0,72500.0,Bensin,Manual,1.3
Honda,Mobilio,1.5 Prestige Bensin-AT,2015,132500000.0,87500.0,Bensin,Automatic,1.5
Volkswagen,Golf,1.4 TSI Bensin-AT,2012,145000000.0,67500.0,Bensin,Automatic,1.4
Honda,Brio,1.3 E Bensin-MT,2019,135000000.0,27500.0,Bensin,Manual,1.3
Peugeot,3008,1.6 Allure Plus Bensin-AT,2012,135000000.0,62500.0,Bensin,Automatic,1.6
Toyota,Voxy,2.0 Bensin-AT,2019,330000000.0,72500.0,Bensin,Automatic,2.0
Wuling,Almaz,1.5 Exclusive 7-Seater Bensin-AT,2019,195000000.0,72500.0,Bensin,Automatic,1.5
Nissan,X-Trail,2.5 Urban Selection Bensin-AT,2012,150000000.0,117500.0,Bensin,Automatic,2.5
Honda,CR-V,1.5 Turbo Prestige Bensin-AT,2018,365000000.0,52500.0,Bensin,Automatic,1.5
Suzuki,Ertiga,1.4 GX Bensin-MT,2012,105000000.0,132500.0,Bensin,Manual,1.4
Honda,City,1.5 Hatchback RS Bensin-AT,2022,245000000.0,52500.0,Bensin,Automatic,1.5
Toyota,Kijang Innova,2.0 G Bensin-AT,2018,255000000.0,57500.0,Bensin,Automatic,2.0
Mazda,2,1.5 R Skyactiv Bensin-AT,2015,155000000.0,82500.0,Bensin,Automatic,1.5
Daihatsu,Taruna,1.5 FGX Bensin-MT,2003,65000000.0,197500.0,Bensin,Manual,1.5
Honda,Jazz,1.5 RS Bensin-AT,2009,125000000.0,122500.0,Bensin,Automatic,1.5
Toyota,Alphard,2.4 Premium Sound Bensin-AT,2012,295000000.0,27500.0,Bensin,Automatic,2.4
Toyota,Agya,1.0 G Bensin-MT,2014,84000000.0,92500.0,Bensin,Manual,1.0
Nissan,Grand livina,1.5 SV Bensin-AT,2014,100000000.0,87500.0,Bensin,Automatic,1.5
Honda,Jazz,1.5 S Bensin-AT,2019,199000000.0,37500.0,Bensin,Automatic,1.5
Honda,HR-V,1.5 Turbo RS Bensin-AT,2022,415000000.0,47500.0,Bensin,Automatic,1.5
Daihatsu,Terios,1.5 R Bensin-AT,2021,215000000.0,12500.0,Bensin,Automatic,1.5
Daihatsu,Xenia,1.3 Xi FAMILY Bensin-MT,2009,85000000.0,172500.0,Bensin,Manual,1.3
Honda,CR-V,2.0 Bensin-MT,2005,84000000.0,237500.0,Bensin,Manual,2.0
Wuling,Alvez,1.5 EX Bensin-AT,2023,235000000.0,12500.0,Bensin,Automatic,1.5
Toyota,Avanza,1.3 Veloz Bensin-AT,2017,167000000.0,42500.0,Bensin,Automatic,1.3
Mitsubishi,Pajero Sport,2.4 Dakar Solar-AT,2021,455000000.0,72500.0,Diesel,Automatic,2.4
Honda,Accord,2.2 Bensin-MT,1994,41000000.0,217500.0,Bensin,Manual,2.2
Honda,Jazz,1.5 RS Bensin-MT,2014,169000000.0,107500.0,Bensin,Manual,1.5
Toyota,Camry,2.5 V Bensin-AT,2012,150000000.0,107500.0,Bensin,Automatic,2.5
Mitsubishi,Outlander Sport,2.0 PX Bensin-AT,2013,157000000.0,92500.0,Bensin,Automatic,2.0
Suzuki,Swift,1.5 GT3 Bensin-MT,2010,105000000.0,92500.0,Bensin,Manual,1.5
Mitsubishi,Pajero Sport,2.4 Dakar Solar-AT,2012,225000000.0,87500.0,Diesel,Automatic,2.4
Honda,Brio,1.2 Satya E Bensin-MT,2019,137000000.0,52500.0,Bensin,Manual,1.2
Mitsubishi,Pajero Sport,2.5 Dakar Solar-AT,2012,250000000.0,107500.0,Diesel,Automatic,2.5
Honda,CR-V,1.5 Bensin-AT,2021,475111111.0,32500.0,Bensin,Automatic,1.5
Toyota,Avanza,1.3 G Bensin-MT,2021,154000000.0,32500.0,Bensin,Manual,1.3
Toyota,Kijang Innova,2.4 G Solar-AT,2016,280000000.0,77500.0,Diesel,Automatic,2.4
Toyota,Avanza,1.3 G Bensin-MT,2019,170000000.0,52500.0,Bensin,Manual,1.3
Toyota,Kijang Innova,2.4 G Solar-AT,2021,335000000.0,47500.0,Diesel,Automatic,2.4
Toyota,Avanza,1.3 G Bensin-MT,2008,88000000.0,97500.0,Bensin,Manual,1.3
Nissan,Terrano,2.4 Spirit Bensin-MT,2006,85000000.0,67500.0,Bensin,Manual,2.4
Isuzu,Panther,2.5 LS Solar-MT,2002,89000000.0,142500.0,Bensin,Manual,2.5
Daihatsu,Ayla,1.2 R Bensin-MT,2020,115000000.0,62500.0,Bensin,Manual,1.2
Mitsubishi,Xpander,1.5 Exceed Bensin-AT,2020,200000000.0,32500.0,Bensin,Automatic,1.5
Honda,Brio Satya,1.2 E Bensin-AT,2021,147000000.0,27500.0,Bensin,Automatic,1.2
Suzuki,Ertiga,1.4 GL Bensin-MT,2015,122000000.0,97500.0,Bensin,Manual,1.4
Mitsubishi,Pajero Sport,2.5 Exceed Solar-AT,2015,255000000.0,132500.0,Diesel,Automatic,2.5
Toyota,Kijang Innova,2.4 G Solar-MT,2016,275000000.0,72500.0,Diesel,Manual,2.4
Toyota,Kijang Innova,2.0 G Bensin-MT,2018,215000000.0,87500.0,Bensin,Manual,2.0
Suzuki,Carry,1.0 Bensin-MT,1988,17500000.0,7500.0,Bensin,Manual,1.0
Toyota,Camry,2.4 G Bensin-MT,2000,45000000.0,152500.0,Bensin,Manual,2.4
Mitsubishi,Outlander Sport,2.0 PX Bensin-AT,2013,155000000.0,92500.0,Bensin,Automatic,2.0
Toyota,Yaris,1.5 TRD Sportivo Bensin-MT,2017,165000000.0,77500.0,Bensin,Manual,1.5
Daihatsu,Xenia,1.0 Li Bensin-MT,2005,71000000.0,127500.0,Bensin,Manual,1.0
Honda,Jazz,1.5 RS Bensin-AT,2010,137000000.0,172500.0,Bensin,Automatic,1.5
Toyota,Calya,1.2 E Bensin-MT,2020,114000000.0,42500.0,Bensin,Manual,1.2
Daihatsu,Xenia,1.3 Bensin-MT,2019,145000000.0,92500.0,Bensin,Manual,1.3
Daihatsu,Rocky,1.2 X Bensin-MT,2021,149000000.0,22500.0,Bensin,Manual,1.2
Mitsubishi,Xpander,1.5 Sport Bensin-AT,2018,195000000.0,62500.0,Bensin,Automatic,1.5
Toyota,Alphard,2.4 G Bensin-AT,2012,280000000.0,97500.0,Bensin,Automatic,2.4
Honda,CR-V,1.5 Turbo Prestige Bensin-AT,2021,465000000.0,32500.0,Bensin,Automatic,1.5
Isuzu,Pick-Up,2.5 Standard Solar-MT,1997,55000000.0,52500.0,Diesel,Manual,2.5
Toyota,Kijang Innova,2.0 G Bensin-AT,2018,250000000.0,57500.0,Bensin,Automatic,2.0
Honda,HR-V,1.5 E Bensin-AT,2016,190000000.0,72500.0,Bensin,Automatic,1.5
Daihatsu,Terios,1.5 New TX Bensin-MT,2018,185000000.0,62500.0,Bensin,Manual,1.5
Peugeot,206,1.5 Bensin-AT,2004,41000000.0,62500.0,Bensin,Automatic,1.5
Toyota,Calya,1.2 G Bensin-MT,2019,114000000.0,87500.0,Bensin,Manual,1.2
Toyota,Calya,1.2 G Bensin-MT,2019,114000000.0,87500.0,Bensin,Manual,1.2
BMW,520i,2.2 Bensin-AT,2004,106000000.0,82500.0,Bensin,Automatic,2.2
Daihatsu,Ayla,1.0 X Bensin-MT,2016,85000000.0,52500.0,Bensin,Manual,1.0
Toyota,Agya,1.0 TRD Sportivo Bensin-MT,2015,92000000.0,22500.0,Bensin,Manual,1.0
Nissan,Grand livina,1.5 XV Bensin-MT,2012,87000000.0,92500.0,Bensin,Manual,1.5
