Merek,Model,Varian,Tahun,harga,Jarak tempuh,Tipe bahan bakar,Transmisi,Kapasitas mesin
Toyota,Vios limo,1.2 Bensin-MT,2011,58000000.0,7500.0,Bensin,Manual,1.2
Toyota,Kijang Innova,2.0 Bensin-AT,2019,310000000.0,117500.0,Diesel,Automatic,2.0
Toyota,Yaris,1.5 S Limited Bensin-AT,2012,118000000.0,117500.0,Bensin,Automatic,1.5
Toyota,Kijang Super G,1.8 Bensin-MT,1995,40000000.0,300000.0,Bensin,Manual,1.8
Toyota,Kijang Innova,2.4 Venturer Solar-AT,2021,485000000.0,17500.0,Diesel,Automatic,2.4
Toyota,Fortuner,2.5 G Turbo Solar-AT,2013,260000000.0,137500.0,Diesel,Automatic,2.5
Toyota,Kijang Innova,2.0 G Bensin-MT,2020,270000000.0,87500.0,Bensin,Manual,2.0
Toyota,Kijang Innova,2.0 New G Bensin-AT,2012,150000000.0,132500.0,Bensin,Automatic,2.0
Toyota,Sienta,1.5 Q Bensin-AT,2017,170000000.0,67500.0,Bensin,Automatic,1.5
Toyota,Kijang Innova,2.4 G Solar-MT,2018,290000000.0,97500.0,Diesel,Manual,2.4
Toyota,Avanza,1.3 G Bensin-MT,2019,175000000.0,67500.0,Bensin,Manual,1.3
Toyota,Calya,1.2 G Bensin-AT,2016,115000000.0,52500.0,Bensin,Automatic,1.2
Toyota,Kijang,1.8 LGX Bensin-MT,2003,80000000.0,147500.0,Bensin,Manual,1.8
Toyota,Avanza,1.3 G Bensin-AT,2015,118000000.0,127500.0,Bensin,Automatic,1.3
Toyota,Avanza,1.3 E Bensin-MT,2023,185000000.0,17500.0,Bensin,Manual,1.3
Toyota,Kijang Innova,2.0 G Luxury Bensin-AT,2020,286000000.0,82500.0,Bensin,Automatic,2.0
Toyota,Agya,1.0 G Bensin-AT,2014,90000000.0,47500.0,Bensin,Automatic,1.0
Toyota,Kijang,1.5 Bensin-MT,1995,30000000.0,47500.0,Bensin,Manual,1.5
Toyota,Kijang Innova,2.0 V Bensin-MT,2004,89000000.0,172500.0,Bensin,Manual,2.0
Toyota,Corolla,1.8 XLi Bensin-MT,2000,38000000.0,117500.0,Bensin,Manual,1.8
Toyota,Kijang Innova,2.0 G Bensin-MT,2005,100000000.0,137500.0,Bensin,Manual,2.0
Toyota,Avanza,1.3 G Bensin-AT,2020,169000000.0,137500.0,Bensin,Automatic,1.3
Toyota,Calya,1.2 G Bensin-AT,2020,135000000.0,27500.0,Bensin,Automatic,1.2
Toyota,Avanza,1.3 G Bensin-MT,2007,90000000.0,107500.0,Bensin,Manual,1.3
Toyota,Avanza,1.3 G Bensin-AT,2015,147000000.0,67500.0,Bensin,Automatic,1.3
Toyota,Kijang Innova,2.0 New V Bensin-AT,2017,260000000.0,87500.0,Bensin,Automatic,2.0
Toyota,Kijang Innova,2.4 G Solar-AT,2023,380000000.0,37500.0,Diesel,Automatic,2.4
Toyota,Calya,1.2 E Bensin-MT,2024,152500000.0,12500.0,Bensin,Manual,1.2
Toyota,Calya,1.2 G Bensin-AT,2023,162000000.0,7500.0,Bensin,Automatic,1.2
Toyota,Fortuner,2.4 VRZ GR Sport-AT,2022,540000000.0,42500.0,Diesel,Automatic,2.4
Toyota,Starlet,1.3 Bensin-MT,1995,67000000.0,152500.0,Bensin,Manual,1.3
Toyota,Kijang Innova,2.0 G Bensin-AT,2017,240000000.0,157500.0,Bensin,Automatic,2.0
Toyota,Avanza,1.5 S Bensin-MT,2022,200000000.0,47500.0,Bensin,Manual,1.5
Toyota,Land Cruiser,4.2 Solar-MT,1996,385000000.0,147500.0,Diesel,Manual,4.2
Toyota,Vios,1.5 E Bensin-MT,2015,71000000.0,292500.0,Bensin,Manual,1.5
Toyota,Fortuner,2.5 G Solar-MT,2007,170000000.0,247500.0,Diesel,Manual,2.5
Toyota,Fortuner,2.4 4x2 VRZ Solar-AT,2019,395000000.0,87500.0,Diesel,Automatic,2.4
Toyota,Fortuner,2.5 G Turbo Solar-MT,2014,279000000.0,77500.0,Diesel,Manual,2.5
Toyota,Agya,1.0 G TRD Sportivo Bensin-MT,2015,89000000.0,67500.0,Bensin,Manual,1.0
Toyota,Kijang Innova,2.0 G Bensin-MT,2016,245000000.0,32500.0,Bensin,Manual,2.0
Toyota,Kijang Innova,2.0 V Bensin-AT,2016,260000000.0,97500.0,Bensin,Automatic,2.0
Toyota,Rush,1.5 TRD Sportivo Bensin-AT,2021,240000000.0,27500.0,Bensin,Automatic,1.5
Toyota,Corona,1.5 Bensin-AT,2017,175000000.0,72500.0,Bensin,Automatic,1.5
Toyota,Avanza,1.5 Veloz Bensin-MT,2018,165000000.0,77500.0,Bensin,Manual,1.5
Toyota,Hiace,2.5 High Grade Commuter Solar-MT,2012,120000000.0,300000.0,Diesel,Manual,2.5
Toyota,Kijang Innova,2.0 G Bensin-AT,2018,310000000.0,102500.0,Diesel,Automatic,2.0
Toyota,Great Corolla,1.6 Bensin-MT,1995,35000000.0,102500.0,Bensin,Manual,1.6
Toyota,Yaris,1.5 E Bensin-MT,2018,175000000.0,72500.0,Bensin,Manual,1.5
Toyota,Etios Valco,1.2 G Bensin-MT,2015,90000000.0,102500.0,Bensin,Manual,1.2
Toyota,Calya,1.2 G Bensin-MT,2017,112000000.0,17500.0,Bensin,Manual,1.2
Toyota,Kijang Innova,2.0 G Luxury Bensin-MT,2016,230000000.0,177500.0,Bensin,Manual,2.0
Toyota,Avanza,1.3 G Bensin-AT,2019,175000000.0,117500.0,Bensin,Automatic,1.3
Toyota,Kijang Innova,2.4 V Solar-MT,2019,375000000.0,87500.0,Diesel,Manual,2.4
Toyota,Kijang,2.0 Krista Bensin-AT,2003,130000000.0,227500.0,Bensin,Automatic,2.0
Toyota,Starlet,1.0 Bensin-MT,1995,37000000.0,147500.0,Bensin,Manual,1.0
Toyota,Avanza,1.5 New G Bensin-AT,2022,218000000.0,22500.0,Bensin,Automatic,1.5
Toyota,Kijang Innova,2.0 V Bensin-AT,2017,258000000.0,67500.0,Bensin,Automatic,2.0
Toyota,Avanza,1.5 New G Bensin-AT,2022,219000000.0,37500.0,Bensin,Automatic,1.5
Toyota,Kijang Super,1.5 Bensin-MT,1991,21000000.0,142500.0,Bensin,Manual,1.5
Toyota,Avanza,1.3 G Bensin-AT,2020,185000000.0,27500.0,Bensin,Automatic,1.3
Toyota,Kijang Innova,2.4 G Solar-AT,2012,220000000.0,162500.0,Diesel,Automatic,2.4
Toyota,Raize,1.0 GR Sport One Tone Bensin-AT,2022,223000000.0,22500.0,Bensin,Automatic,1.0
Toyota,Vios,1.5 G Bensin-AT,2004,60000000.0,152500.0,Bensin,Automatic,1.5
Toyota,Sienta,1.5 V Bensin-AT,2017,164000000.0,102500.0,Bensin,Automatic,1.5
Toyota,Kijang Innova,2.0 G Luxury Bensin-MT,2013,175000000.0,102500.0,Bensin,Manual,2.0
Toyota,Kijang Innova,2.0 G Bensin-MT,2018,238000000.0,147500.0,Bensin,Manual,2.0
Toyota,Avanza,1.3 E Bensin-AT,2014,120000000.0,222500.0,Bensin,Automatic,1.3
Toyota,Avanza,1.5 New G Bensin-AT,2022,218000000.0,22500.0,Bensin,Automatic,1.5
Toyota,Kijang Innova,2.4 G Solar-AT,2013,230000000.0,82500.0,Diesel,Automatic,2.4
Toyota,Kijang,1.5 Bensin-MT,1991,22000000.0,177500.0,Bensin,Manual,1.5
Toyota,Kijang Innova,2.4 V Solar-AT,2021,470000000.0,47500.0,Diesel,Automatic,2.4
Toyota,Avanza,1.5 Veloz Bensin-MT,2016,152500000.0,17500.0,Bensin,Manual,1.5
Toyota,Avanza,1.5 Veloz Bensin-AT,2016,148000000.0,102500.0,Bensin,Automatic,1.5
Toyota,Kijang Innova,2.4 Solar-AT,2021,430000000.0,47500.0,Diesel,Automatic,2.4
Toyota,Kijang Innova,2.0 Bensin-MT,2008,105000000.0,87500.0,Bensin,Manual,2.0
Toyota,Kijang Innova,2.0 G Bensin-MT,2007,98999000.0,167500.0,Bensin,Manual,2.0
Toyota,Calya,1.2 E Bensin-AT,2017,115000000.0,102500.0,Bensin,Automatic,1.2
Toyota,Fortuner,2.5 G Solar-MT,2011,225000000.0,187500.0,Diesel,Manual,2.5
Toyota,Avanza,1.3 New G Bensin-AT,2019,177500000.0,32500.0,Bensin,Automatic,1.3
Toyota,Fortuner,2.5 G Solar-MT,2010,220000000.0,92500.0,Diesel,Manual,2.5
Toyota,Kijang Innova,2.0 G Bensin-MT,2006,105000000.0,237500.0,Bensin,Manual,2.0
Toyota,Kijang Innova,2.4 G Solar-AT,2023,383200000.0,32500.0,Diesel,Automatic,2.4
Toyota,Kijang Innova,2.0 G Luxury Bensin-AT,2012,155000000.0,137500.0,Bensin,Automatic,2.0
Toyota,Avanza,1.3 G Bensin-AT,2016,129500000.0,102500.0,Bensin,Automatic,1.3
Toyota,Kijang Innova,2.0 G Bensin-AT,2017,240000000.0,157500.0,Bensin,Automatic,2.0
Toyota,Avanza,1.5 New G Bensin-MT,2023,210000000.0,17500.0,Bensin,Manual,1.5
Toyota,Kijang Innova,2.0 New G Bensin-AT,2013,158000000.0,92500.0,Bensin,Automatic,2.0
Toyota,Fortuner,2.4 VRZ TRD Solar-AT,2017,459000000.0,107500.0,Diesel,Automatic,2.4
Toyota,Fortuner,2.4 VRZ TRD Solar-AT,2017,365000000.0,107500.0,Diesel,Automatic,2.4
Toyota,Yaris,1.5 TRD Sportivo Heykers Bensin-MT,2013,135000000.0,97500.0,Bensin,Manual,1.5
Toyota,Camry,2.4 G Bensin-MT,2003,60000000.0,157500.0,Bensin,Manual,2.4
Toyota,Kijang,1.5 KF70 Bensin-MT,2003,79000000.0,197500.0,Bensin,Manual,1.5
Toyota,Kijang,1.8 SSX Bensin-MT,1999,45000000.0,87500.0,Bensin,Manual,1.8
Toyota,Agya,1.0 TRD Sportivo Bensin-AT,2013,84500000.0,97500.0,Bensin,Automatic,1.0
Toyota,Avanza,1.3 G Bensin-MT,2010,98000000.0,42500.0,Bensin,Manual,1.3
Toyota,Yaris,1.5 TRD Sportivo Bensin-AT,2016,161000000.0,12500.0,Bensin,Automatic,1.5
Toyota,Kijang Innova,2.5 G Solar-MT,2014,250000000.0,177500.0,Diesel,Manual,2.5
Toyota,Kijang Innova,2.0 V Extra Bensin-AT,2021,325000000.0,52500.0,Bensin,Automatic,2.0
Toyota,Avanza,1.5 G Bensin-MT,2023,225000000.0,12500.0,Bensin,Manual,1.5
Toyota,Kijang Innova,2.0 G Bensin-MT,2020,270000000.0,97500.0,Bensin,Manual,2.0
Toyota,Yaris,1.5 TRD Sportivo 7 AB Bensin-AT,2021,225000000.0,27500.0,Bensin,Automatic,1.5
Toyota,Camry,2.5 V Bensin-AT,2016,248000000.0,102500.0,Bensin,Automatic,2.5
Toyota,Avanza,1.5 Veloz Q Bensin-AT,2021,245000000.0,27500.0,Bensin,Automatic,1.5
Toyota,Soluna,1.5 GLi Bensin-MT,2001,45000000.0,177500.0,Bensin,Manual,1.5
Toyota,Alphard,2.4 V Bensin-AT,2008,149000000.0,77500.0,Bensin,Automatic,2.4
Toyota,Kijang,1.8 Bensin-MT,2003,70000000.0,300000.0,Bensin,Manual,1.8
Toyota,Fortuner,2.7 V 4x4 Bensin-AT,2023,720000000.0,2500.0,Diesel,Automatic,2.7
Toyota,Rush,1.5 GR Sport Bensin-AT,2022,248000000.0,12500.0,Bensin,Automatic,1.5
Toyota,Alphard,2.4 G Bensin-AT,2005,145000000.0,142500.0,Bensin,Automatic,2.4
Toyota,HILUX,3.0 G Solar-MT,2011,175000000.0,157500.0,Diesel,Manual,3.0
Toyota,Kijang Innova,2.0 E Bensin-AT,2012,160000000.0,232500.0,Bensin,Automatic,2.0
Toyota,Vios,1.5 E Bensin-MT,2003,44000000.0,197500.0,Bensin,Manual,1.5
Toyota,Vios,1.5 TRD Bensin-AT,2012,115000000.0,172500.0,Bensin,Automatic,1.5
Toyota,Kijang,1.3 Bensin-MT,1986,25000000.0,300000.0,Bensin,Manual,1.3
Toyota,Rush,1.5 New TRD Sportivo Bensin-AT,2020,222000000.0,47500.0,Bensin,Automatic,1.5
Toyota,Kijang,1.8 LGX Bensin-MT,2003,83000000.0,157500.0,Bensin,Manual,1.8
Toyota,Fortuner,2.4 G Solar-MT,2009,198000000.0,127500.0,Diesel,Manual,2.4
Toyota,Yaris,1.5 E Bensin-MT,2008,70000000.0,202500.0,Bensin,Manual,1.5
Toyota,Agya,1.2 G TRD Sportivo Bensin-AT,2019,134000000.0,47500.0,Bensin,Automatic,1.2
Toyota,Calya,1.2 New G Bensin-MT,2022,135000000.0,32500.0,Bensin,Manual,1.2
Toyota,Kijang Innova,2.5 New V Solar-AT,2014,256000000.0,102500.0,Diesel,Automatic,2.5
Toyota,Kijang Innova,2.0 G Bensin-MT,2004,84000000.0,300000.0,Bensin,Manual,2.0
Toyota,Kijang,1.5 KF40 Bensin-MT,1994,37000000.0,37500.0,Bensin,Manual,1.5
Toyota,Rush,1.5 New TRD Sportivo Bensin-AT,2018,207000000.0,92500.0,Bensin,Automatic,1.5
Toyota,Vios,1.5 New G Bensin-MT,2005,75000000.0,222500.0,Bensin,Manual,1.5
Toyota,Avanza,1.3 G Bensin-AT,2011,97000000.0,107500.0,Bensin,Automatic,1.3
Toyota,Yaris,1.5 E Bensin-AT,2013,120000000.0,102500.0,Bensin,Automatic,1.5
Toyota,Yaris,1.5 J Bensin-AT,2008,90000000.0,147500.0,Bensin,Automatic,1.5
Toyota,Yaris,1.5 TRD Sportivo Bensin-MT,2014,135000000.0,112500.0,Bensin,Manual,1.5
Toyota,Etios Valco,1.2 G Bensin-MT,2015,99000000.0,112500.0,Bensin,Manual,1.2
Toyota,Camry,2.4 Limo Premium Bensin-AT,2011,100000000.0,297500.0,Bensin,Automatic,2.4
Toyota,Alphard,2.5 G Bensin-AT,2023,1145000000.0,17500.0,Bensin,Automatic,2.5
Toyota,Kijang Innova,2.4 G Solar-AT,2019,321000000.0,92500.0,Diesel,Automatic,2.4
Toyota,Fortuner,2.4 4x4 VRZ Solar-AT,2021,485000000.0,77500.0,Diesel,Automatic,2.4
Toyota,Kijang Innova,2.0 G Bensin-MT,2016,240000000.0,87500.0,Bensin,Manual,2.0
Toyota,Calya,1.2 G Bensin-AT,2020,135000000.0,32500.0,Bensin,Automatic,1.2
Toyota,Kijang Innova,2.0 Venturer Bensin-AT,2018,325000000.0,87500.0,Bensin,Automatic,2.0
Toyota,Agya,1.2 G TRD Sportivo Bensin-MT,2019,135000000.0,17500.0,Bensin,Manual,1.2
Toyota,Calya,1.2 New G Bensin-AT,2020,135000000.0,57500.0,Bensin,Automatic,1.2
Toyota,Rush,1.5 TRD Sportivo Bensin-AT,2021,230000000.0,22500.0,Bensin,Automatic,1.5
Toyota,Fortuner,2.5 G TRD Solar-MT,2014,279000000.0,67500.0,Diesel,Manual,2.5
Toyota,Kijang Innova,2.5 G Solar-MT,2012,220000000.0,87500.0,Diesel,Manual,2.5
Toyota,Kijang Innova,2.0 G Bensin-MT,2016,245000000.0,27500.0,Bensin,Manual,2.0
Toyota,Avanza,1.3 Veloz Bensin-AT,2017,150000000.0,117500.0,Bensin,Automatic,1.3
Toyota,Camry,2.2 Bensin-MT,2002,52000000.0,232500.0,Bensin,Manual,2.2
Toyota,Agya,1.0 G Bensin-AT,2015,99500000.0,62500.0,Bensin,Automatic,1.0
Toyota,Starlet,1.0 EP Bensin-MT,1986,38000000.0,172500.0,Bensin,Manual,1.0
Toyota,Rush,1.5 New TRD Sportivo Bensin-AT,2021,234000000.0,42500.0,Bensin,Automatic,1.5
Toyota,Kijang Innova,2.5 V Solar-AT,2004,165000000.0,232500.0,Diesel,Automatic,2.5
Honda,Stream,1.7 Bensin-AT,2005,52000000.0,212500.0,Bensin,Automatic,1.7
Honda,HR-V,1.5 New E Bensin-AT,2018,225000000.0,112500.0,Bensin,Automatic,1.5
Honda,BR-V,1.5 E Bensin-MT,2016,180000000.0,82500.0,Bensin,Manual,1.5
Honda,BR-V,1.5 E Bensin-MT,2017,160000000.0,102500.0,Bensin,Manual,1.5
Honda,BR-V,1.5 E Prestige Bensin-AT,2016,160000000.0,97500.0,Bensin,Automatic,1.5
Honda,Civic,1.5 ES Prestige Bensin-AT,2018,368000000.0,57500.0,Bensin,Manual,1.5
Honda,Mobilio,1.5 E Bensin-AT,2018,125000000.0,112500.0,Bensin,Automatic,1.5
Honda,Brio,1.3 E Bensin-AT,2012,113000000.0,117500.0,Bensin,Automatic,1.3
Honda,Accord,2.0 Bensin-MT,2000,42000000.0,127500.0,Bensin,Manual,2.0
Honda,Mobilio,1.5 S Bensin-MT,2014,90000000.0,177500.0,Bensin,Manual,1.5
Honda,City,1.5 Bensin-AT,2005,44500000.0,87500.0,Bensin,Automatic,1.5
Honda,Mobilio,1.5 RS Bensin-AT,2015,139000000.0,97500.0,Bensin,Automatic,1.5
Honda,HR-V,1.5 E Bensin-AT,2017,210000000.0,77500.0,Bensin,Automatic,1.5
Honda,CR-V,1.5 Turbo Prestige Bensin-AT,2017,350000000.0,67500.0,Bensin,Automatic,1.5
Honda,Brio,1.2 RS Bensin-MT,2019,155000000.0,62500.0,Bensin,Manual,1.2
Honda,CR-V,2.4 Bensin-AT,2007,90000000.0,127500.0,Bensin,Automatic,2.4
Honda,CR-V,1.5 Turbo Prestige Bensin-AT,2019,390000000.0,92500.0,Bensin,Automatic,1.5
Honda,BR-V,1.5 E Bensin-MT,2016,155000000.0,300000.0,Bensin,Manual,1.5
Honda,Jazz,1.5 New RS Bensin-AT,2018,210000000.0,52500.0,Bensin,Automatic,1.5
Honda,City,1.5 E Bensin-AT,2016,170000000.0,77500.0,Bensin,Automatic,1.5
Honda,Civic,1.8 FD Bensin-MT,2007,125000000.0,177500.0,Bensin,Manual,1.8
Honda,CR-V,2.4 Prestige Bensin-AT,2013,183000000.0,92500.0,Bensin,Automatic,2.4
Honda,HR-V,1.5 E Bensin-AT,2019,230000000.0,47500.0,Bensin,Automatic,1.5
Honda,Brio,1.2 E Bensin-MT,2015,105000000.0,102500.0,Bensin,Manual,1.2
Honda,Mobilio,1.5 E Bensin-AT,2014,125000000.0,122500.0,Bensin,Automatic,1.5
Honda,HR-V,1.5 E Bensin-AT,2016,195000000.0,127500.0,Bensin,Automatic,1.5
Honda,Brio,1.2 S Bensin-MT,2021,140000000.0,32500.0,Bensin,Manual,1.2
Honda,CR-V,2.4 Bensin-AT,2013,190000000.0,62500.0,Bensin,Automatic,2.4
Honda,Jazz,1.5 RS Bensin-AT,2009,102000000.0,122500.0,Bensin,Automatic,1.5
Honda,CR-V,1.5 Turbo Prestige Bensin-AT,2017,340000000.0,67500.0,Bensin,Automatic,1.5
Honda,Brio,1.2 RS Bensin-AT,2019,176000000.0,22500.0,Bensin,Automatic,1.2
Honda,BR-V,1.5 Prestige Sensing Bensin-AT,2022,265000000.0,22500.0,Bensin,Automatic,1.5
Honda,HR-V,1.5 Turbo RS Bensin-AT,2022,445000000.0,17500.0,Bensin,Automatic,1.5
Honda,BR-V,1.5 Prestige Sensing Bensin-AT,2022,250000000.0,32500.0,Bensin,Automatic,1.5
Honda,Jazz,1.5 RS Bensin-AT,2010,124567891.0,117500.0,Bensin,Automatic,1.5
Honda,CR-V,2.4 Bensin-AT,2013,183000000.0,102500.0,Bensin,Automatic,2.4
Honda,CR-V,2.0 Special Edition Bensin-MT,2010,135000000.0,67500.0,Bensin,Manual,2.0
Honda,City,1.5 i-DSI Bensin-MT,2007,73000000.0,82500.0,Bensin,Manual,1.5
Honda,HR-V,1.5 E Special Edition Bensin-AT,2018,240000000.0,92500.0,Bensin,Automatic,1.5
Honda,Brio,1.2 E Bensin-AT,2015,126000000.0,102500.0,Bensin,Automatic,1.2
Honda,CR-V,2.0 Bensin-AT,2007,103000000.0,87500.0,Bensin,Automatic,2.0
Honda,Jazz,1.5 GE Bensin-AT,2012,105000000.0,102500.0,Bensin,Automatic,1.5
Honda,CR-V,2.4 Prestige Bensin-AT,2014,205000000.0,142500.0,Bensin,Automatic,2.4
Honda,HR-V,1.5 E Bensin-AT,2019,227000000.0,102500.0,Bensin,Automatic,1.5
Honda,HR-V,1.8L Prestige-AT,2015,230000000.0,42500.0,Bensin,Automatic,1.8
Honda,Brio Satya,1.2 E Bensin-AT,2019,151000000.0,97500.0,Bensin,Automatic,1.2
Honda,BR-V,1.5 E Bensin-AT,2023,220000000.0,42500.0,Bensin,Automatic,1.5
Honda,City,1.5 Hatchback RS Bensin-AT,2021,230000000.0,32500.0,Bensin,Automatic,1.5
Honda,Brio Satya,1.2 New S Bensin-MT,2021,125000000.0,22500.0,Bensin,Manual,1.2
Honda,BR-V,1.5 E Bensin-AT,2017,158500000.0,102500.0,Bensin,Automatic,1.5
Honda,Civic,1.8 FD Bensin-AT,2006,99000000.0,182500.0,Bensin,Automatic,1.8
Honda,BR-V,1.5 E Bensin-AT,2023,220000000.0,47500.0,Bensin,Automatic,1.5
Honda,Brio,1.2 New E Bensin-MT,2019,138000000.0,72500.0,Bensin,Manual,1.2
Honda,Accord,2.4 VTI-L Bensin-AT,2008,125000000.0,97500.0,Bensin,Automatic,2.4
Honda,CR-V,1.5 Turbo Prestige Bensin-AT,2017,305000000.0,97500.0,Bensin,Automatic,1.5
Honda,Brio,1.2 E Bensin-AT,2017,130000000.0,82500.0,Bensin,Automatic,1.2
Honda,Stream,mobil-bekas-honda-civic-1.7-bensin-at,2006,67000000.0,17500.0,Bensin,Automatic,1.7
Honda,Freed,1.5 E Bensin-AT,2012,139000000.0,147500.0,Bensin,Automatic,1.5
Honda,City,1.5 E Bensin-AT,2010,114500000.0,97500.0,Bensin,Automatic,1.5
Honda,City,1.5 E Bensin-AT,2010,115000000.0,97500.0,Bensin,Automatic,1.5
Honda,Mobilio,1.5 E Bensin-AT,2018,125000000.0,112500.0,Bensin,Automatic,1.5
Honda,Accord,2.0 Bensin-MT,1993,31000000.0,300000.0,Bensin,Manual,2.0
Honda,HR-V,1.5 E Bensin-AT,2015,215000000.0,62500.0,Bensin,Automatic,1.5
Honda,Freed,1.5 S Bensin-AT,2012,120000000.0,142500.0,Bensin,Automatic,1.5
Honda,Freed,1.5 E Bensin-AT,2011,120000000.0,197500.0,Bensin,Automatic,1.5
Honda,Freed,1.5 E Bensin-AT,2015,178000000.0,57500.0,Bensin,Automatic,1.5
Honda,HR-V,1.5 S Bensin-AT,2015,167000000.0,112500.0,Bensin,Automatic,1.5
Honda,Jazz,1.5 S Bensin-AT,2012,126000000.0,127500.0,Bensin,Automatic,1.5
Honda,Brio,1.3 E Bensin-AT,2018,130000000.0,72500.0,Bensin,Automatic,1.3
Honda,HR-V,1.5 E Bensin-AT,2017,215000000.0,87500.0,Bensin,Automatic,1.5
Honda,CR-V,1.5 Turbo Prestige Bensin-AT,2020,405000000.0,62500.0,Bensin,Automatic,1.5
Honda,Mobilio,1.5 S Bensin-MT,2021,148000000.0,57500.0,Bensin,Manual,1.5
Honda,Jazz,1.5 i-DSI Bensin-AT,2008,87000000.0,162500.0,Bensin,Automatic,1.5
Honda,Mobilio,1.5 E Bensin-AT,2014,120000000.0,152500.0,Bensin,Automatic,1.5
Honda,Mobilio,1.5 S Bensin-MT,2014,100000000.0,167500.0,Bensin,Manual,1.5
Honda,City,1.5 VTEC Bensin-AT,2007,87000000.0,102500.0,Bensin,Automatic,1.5
Honda,HR-V,1.8 Prestige Bensin-AT,2017,255000000.0,87500.0,Bensin,Automatic,1.8
Honda,CR-V,2.4 RE1 Bensin-AT,2011,129500000.0,147500.0,Bensin,Automatic,2.4
Honda,Civic,1.8 FD Bensin-AT,2006,100000000.0,167500.0,Bensin,Automatic,1.8
Honda,Accord,2.3 VTI-Limited Bensin-AT,2000,45500000.0,172500.0,Bensin,Automatic,2.3
Honda,HR-V,1.5 New SE Bensin-AT,2023,378000000.0,17500.0,Bensin,Automatic,1.5
Honda,Brio Satya,1.2 New E Bensin-MT,2022,152000000.0,7500.0,Bensin,Manual,1.2
Honda,Mobilio,1.5 E Bensin-AT,2017,146000000.0,127500.0,Bensin,Automatic,1.5
Honda,Mobilio,1.5 RS Limited Edition Bensin-AT,2016,145000000.0,147500.0,Bensin,Automatic,1.5
Honda,CR-V,2.0 RM1 Bensin-MT,2013,160000000.0,122500.0,Bensin,Manual,2.0
Honda,Mobilio,1.5 E Bensin-AT,2014,140000000.0,177500.0,Bensin,Automatic,1.5
Honda,HR-V,1.8 Prestige Bensin-AT,2016,245000000.0,77500.0,Bensin,Automatic,1.8
Honda,Brio,1.2 Satya E Bensin-MT,2018,128000000.0,82500.0,Bensin,Manual,1.2
Honda,Brio,1.2 E Bensin-MT,2014,98500000.0,92500.0,Bensin,Manual,1.2
Honda,WR-V,1.5 RS Bensin-AT,2024,296000000.0,2500.0,Bensin,Automatic,1.5
Honda,HR-V,1.5 E Limited Edition Bensin-AT,2021,290000000.0,42500.0,Bensin,Automatic,1.5
Honda,Odyssey,2.4 Bensin-AT,2005,100000000.0,147500.0,Bensin,Automatic,2.4
Honda,BR-V,1.5 Prestige Sensing Bensin-AT,2022,268000000.0,42500.0,Bensin,Automatic,1.5
Honda,Mobilio,1.5 E Bensin-AT,2014,135000000.0,122500.0,Bensin,Automatic,1.5
Honda,Brio Satya,1.2 New E Bensin-AT,2018,135000000.0,77500.0,Bensin,Automatic,1.2
Honda,CR-V,2.4 Bensin-AT,2008,96000000.0,212500.0,Bensin,Automatic,2.4
Honda,Civic Hatchback,1.5 S Bensin-AT,2017,330000000.0,52500.0,Bensin,Automatic,1.5
Honda,HR-V,1.8 Prestige Bensin-AT,2015,230000000.0,42500.0,Bensin,Automatic,1.8
Honda,City,1.5 Bensin-MT,2008,75000000.0,187500.0,Bensin,Manual,1.5
Honda,Accord,2.2 S86 EXi Bensin-MT,1994,79000000.0,72500.0,Bensin,Manual,2.2
Honda,Brio Satya,1.2 A Bensin-AT,2016,118000000.0,37500.0,Bensin,Automatic,1.2
Honda,Brio,1.2 E Bensin-MT,2024,169000000.0,7500.0,Bensin,Manual,1.2
Honda,HR-V,1.5 E Bensin-AT,2015,188000000.0,127500.0,Bensin,Automatic,1.5
Honda,HR-V,1.5 E Bensin-AT,2021,279000000.0,12500.0,Bensin,Automatic,1.5
Honda,Brio,1.2 RS Bensin-MT,2023,188000000.0,7500.0,Bensin,Manual,1.2
Honda,Jazz,1.5 New RS Bensin-AT,2014,158000000.0,52500.0,Bensin,Automatic,1.5
Honda,Brio,1.2 E Bensin-MT,2014,103000000.0,82500.0,Bensin,Manual,1.2
Honda,Mobilio,1.5 E Bensin-MT,2014,110000000.0,57500.0,Bensin,Manual,1.5
Honda,Mobilio,1.5 S Bensin-MT,2018,140000000.0,97500.0,Bensin,Manual,1.5
Honda,BR-V,1.5 Prestige Sensing Bensin-AT,2022,260000000.0,37500.0,Bensin,Automatic,1.5
Honda,Brio,1.2 RS Bensin-AT,2019,179999999.0,22500.0,Bensin,Automatic,1.2
Honda,CR-V,2.0 Bensin-AT,2010,135000000.0,97500.0,Bensin,Automatic,2.0
Honda,HR-V,1.5 SE Bensin-AT,2019,268000000.0,47500.0,Bensin,Automatic,1.5
Honda,Freed,1.5 E Bensin-AT,2012,140000000.0,117500.0,Bensin,Automatic,1.5
Honda,BR-V,1.5 E Bensin-MT,2018,180000000.0,77500.0,Bensin,Manual,1.5
Honda,HR-V,1.5 E Bensin-AT,2021,275000000.0,72500.0,Bensin,Automatic,1.5
Honda,Mobilio,1.5 RS Bensin-MT,2019,165000000.0,92500.0,Bensin,Manual,1.5
Honda,BR-V,1.5 E Prestige Bensin-AT,2016,186000000.0,87500.0,Bensin,Automatic,1.5
Honda,Jazz,1.5 GE Bensin-AT,2008,113000000.0,127500.0,Bensin,Automatic,1.5
